기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2021.2/4	양천구	한국인	450,992	11,376	19,312	24,725	25,277	28,144	30,580	26,464	30,267	36,319	41,471	40,956	35,112	34,197	25,241	17,416	11,398	7,309	3,699	1,324	336	69
2021.2/4	양천구	등록외국인	3,296	54	81	69	46	151	314	396	393	313	309	392	438	190	79	45	10	7	4	3	-	2
2021.2/4	강서구	계	582,995	16,696	21,844	21,346	22,797	33,915	53,609	51,194	48,826	45,925	45,227	44,026	41,861	45,325	33,614	23,525	15,465	10,077	5,130	2,021	480	92
2021.2/4	강서구	한국인	577,519	16,521	21,707	21,272	22,745	33,687	53,041	50,404	48,075	45,386	44,801	43,509	41,201	45,010	33,480	23,468	15,435	10,064	5,123	2,018	480	92
2021.2/4	강서구	등록외국인	5,476	175	137	74	52	228	568	790	751	539	426	517	660	315	134	57	30	13	7	3	-	-
2021.2/4	구로구	계	424,582	12,888	15,610	15,054	15,306	23,538	33,086	33,042	33,460	32,801	33,650	35,466	35,313	34,182	25,671	18,985	13,050	8,176	3,747	1,210	295	52
2021.2/4	구로구	한국인	399,266	12,079	14,720	14,552	15,023	22,872	31,931	30,725	30,928	30,772	31,275	31,939	30,366	32,104	24,833	18,754	12,988	8,139	3,722	1,201	291	52
2021.2/4	구로구	등록외국인	25,316	809	890	502	283	666	1,155	2,317	2,532	2,029	2,375	3,527	4,947	2,078	838	231	62	37	25	9	4	-
2021.2/4	금천구	계	244,685	5,950	7,140	6,961	7,801	14,325	23,792	20,442	17,860	16,427	18,282	21,621	22,946	20,957	14,569	10,508	7,523	4,588	2,076	722	148	47
2021.2/4	금천구	한국인	230,168	5,445	6,583	6,639	7,656	14,028	23,156	19,191	16,460	15,290	16,809	19,441	20,064	19,839	14,147	10,388	7,489	4,570	2,065	717	145	46
2021.2/4	금천구	등록외국인	14,517	505	557	322	145	297	636	1,251	1,400	1,137	1,473	2,180	2,882	1,118	422	120	34	18	11	5	3	1
2021.2/4	영등포구	계	402,375	13,100	13,967	12,113	12,625	22,469	38,303	38,363	35,402	30,176	30,001	32,570	32,198	29,517	21,141	15,734	11,455	7,769	3,887	1,215	306	64
2021.2/4	영등포구	한국인	377,421	12,345	13,077	11,580	12,293	21,918	37,193	36,209	33,058	28,181	27,684	28,984	27,198	27,389	20,328	15,462	11,378	7,724	3,858	1,202	296	64
2021.2/4	영등포구	등록외국인	24,954	755	890	533	332	551	1,110	2,154	2,344	1,995	2,317	3,586	5,000	2,128	813	272	77	45	29	13	10	-
2021.2/4	동작구	계	397,231	10,598	13,586	13,146	14,417	28,966	39,953	32,918	30,205	29,120	29,945	30,934	28,732	28,979	21,814	17,093	12,648	8,294	3,967	1,409	349	158
2021.2/4	동작구	한국인	387,847	10,443	13,430	13,040	14,251	26,947	38,488	32,065	29,504	28,596	29,465	30,151	27,637	28,401	21,630	17,030	12,623	8,281	3,956	1,405	349	155
2021.2/4	동작구	등록외국인	9,384	155	156	106	166	2,019	1,465	853	701	524	480	783	1,095	578	184	63	25	13	11	4	-	3
2021.2/4	관악구	계	502,698	9,405	12,280	12,751	15,584	39,822	72,114	50,967	37,695	33,851	34,808	36,159	34,339	34,276	26,600	21,091	15,622	9,637	3,961	1,336	294	106
2021.2/4	관악구	한국인	488,800	9,113	11,931	12,553	15,320	38,590	70,151	49,308	36,426	32,937	33,859	34,767	32,364	33,353	26,267	20,983	15,590	9,615	3,946	1,329	292	106
2021.2/4	관악구	등록외국인	13,898	292	349	198	264	1,232	1,963	1,659	1,269	914	949	1,392	1,975	923	333	108	32	22	15	7	2	-
2021.2/4	서초구	계	422,174	12,442	20,367	23,236	21,858	24,644	29,612	29,769	32,437	37,286	39,548	35,688	27,820	27,072	21,281	16,078	11,154	6,659	3,345	1,400	365	113
2021.2/4	서초구	한국인	418,407	12,351	20,196	23,084	21,761	24,462	29,175	29,240	31,926	36,839	39,166	35,379	27,590	26,946	21,227	16,058	11,143	6,650	3,341	1,396	365	112
2021.2/4	서초구	등록외국인	3,767	91	171	152	97	182	437	529	511	447	382	309	230	126	54	20	11	9	4	4	-	1
2021.2/4	강남구	계	536,107	12,919	22,579	29,378	28,957	32,612	40,373	39,303	41,330	47,612	50,890	45,888	34,915	33,167	27,422	20,565	13,743	8,050	4,068	1,726	477	133
2021.2/4	강남구	한국인	531,375	12,865	22,519	29,320	28,863	32,230	39,436	38,385	40,678	47,162	50,552	45,610	34,677	33,050	27,335	20,534	13,720	8,041	4,065	1,724	477	132
2021.2/4	강남구	등록외국인	4,732	54	60	58	94	382	937	918	652	450	338	278	238	117	87	31	23	9	3	2	-	1
2021.2/4	송파구	계	664,341	20,431	28,373	29,107	28,915	39,531	53,538	53,370	55,574	54,787	53,745	53,767	48,766	49,273	37,313	24,990	15,785	9,456	5,026	1,990	492	112
2021.2/4	송파구	한국인	658,670	20,315	28,218	29,008	28,863	39,284	52,931	52,571	54,827	54,287	53,247	53,126	48,053	48,962	37,216	24,941	15,765	9,444	5,022	1,987	491	112
2021.2/4	송파구	등록외국인	5,671	116	155	99	52	247	607	799	747	500	498	641	713	311	97	49	20	12	4	3	1	-
2021.2/4	강동구	계	469,094	15,525	20,059	19,866	19,350	26,655	35,366	35,117	38,450	38,714	37,073	37,335	35,481	37,828	28,205	19,010	12,223	7,190	3,682	1,482	363	120
2021.2/4	강동구	한국인	465,209	15,429	19,959	19,803	19,295	26,469	34,918	34,609	37,987	38,362	36,741	36,921	34,968	37,609	28,120	18,980	12,209	7,186	3,681	1,481	363	119
2021.2/4	강동구	등록외국인	3,885	96	100	63	55	186	448	508	463	352	332	414	513	219	85	30	14	4	1	1	-	1
